athleteID,eventID,medal,year
436,430,Bronze,1900
437,94,Gold,1900
438,71,Gold,1900
439,76,Gold,1900
440,108,Gold,1900
441,450,Silver,1900
442,430,Bronze,1900
443,271,Bronze,1900
444,342,Silver,1900
445,450,Silver,1900
446,616,Gold,1900
447,618,Gold,1900
448,450,Gold,1900
449,450,Silver,1900
450,689,Bronze,1900
451,325,Bronze,1900
452,460,Silver,1900
453,460,Bronze,1900
454,466,Gold,1900
455,466,Gold,1900
456,104,Silver,1900
457,108,Bronze,1900
458,342,Bronze,1900
459,497,Silver,1900
460,507,Bronze,1900
461,429,Bronze,1900
462,450,Gold,1900
463,430,Bronze,1900
464,619,Bronze,1900
465,619,Gold,1900
466,689,Gold,1900
467,459,Silver,1900
468,459,Silver,1900
469,429,Gold,1900
470,450,Silver,1900
471,342,Bronze,1900
472,87,Gold,1900
473,430,Silver,1900
474,430,Silver,1900
475,450,Silver,1900
476,450,Silver,1900
477,450,Silver,1900
478,619,Gold,1900
479,430,Silver,1900
480,497,Gold,1900
481,637,Bronze,1900
482,342,Silver,1900
483,215,Silver,1900
484,468,Bronze,1900
485,423,Gold,1900
486,505,Gold,1900
487,675,Silver,1900
488,677,Silver,1900
489,673,Bronze,1900
490,461,Bronze,1900
491,689,Bronze,1900
492,460,Silver,1900
493,460,Bronze,1900
494,429,Gold,1900
495,689,Bronze,1900
496,625,Bronze,1900
497,619,Bronze,1900
498,460,Silver,1900
499,460,Bronze,1900
500,433,Silver,1900
501,316,Silver,1900
502,478,Gold,1900
503,460,Gold,1900
504,112,Silver,1900
505,103,Bronze,1900
506,423,Silver,1900
507,71,Silver,1900
508,429,Bronze,1900
509,460,Bronze,1900
510,460,Silver,1900
511,689,Bronze,1900
512,619,Bronze,1900
513,15,Bronze,1900
514,317,Gold,1900
515,466,Silver,1900
516,466,Silver,1900
517,689,Silver,1900
518,478,Bronze,1900
519,460,Bronze,1900
520,460,Silver,1900
521,429,Bronze,1900
522,317,Bronze,1900
523,430,Bronze,1900
524,71,Bronze,1900
525,459,Bronze,1900
526,342,Bronze,1900
527,497,Silver,1900
528,507,Bronze,1900
529,430,Bronze,1900
530,15,Gold,1900
531,450,Silver,1900
532,309,Gold,1900
533,308,Gold,1900
534,478,Silver,1900
535,461,Gold,1900
536,342,Bronze,1900
537,320,Bronze,1900
538,342,Gold,1900
539,450,Silver,1900
540,506,Silver,1900
541,502,Silver,1900
542,503,Silver,1900
543,686,Gold,1900
544,675,Bronze,1900
545,673,Bronze,1900
546,429,Silver,1900
547,429,Bronze,1900
548,450,Gold,1900
549,88,Bronze,1900
550,72,Gold,1900
551,506,Bronze,1900
552,507,Silver,1900
553,503,Bronze,1900
554,505,Silver,1900
555,433,Bronze,1900
556,496,Silver,1900
557,497,Silver,1900
558,507,Bronze,1900
559,503,Gold,1900
560,505,Bronze,1900
561,342,Bronze,1900
562,342,Silver,1900
563,463,Gold,1900
564,323,Silver,1900
565,430,Silver,1900
566,689,Bronze,1900
567,689,Bronze,1900
568,478,Silver,1900
569,461,Gold,1900
570,14,Bronze,1900
571,16,Bronze,1900
572,450,Gold,1900
573,450,Silver,1900
574,215,Gold,1900
575,356,Bronze,1900
576,673,Bronze,1900
577,680,Silver,1900
578,677,Silver,1900
579,108,Silver,1900
580,117,Gold,1900
581,75,Silver,1900
582,76,Silver,1900
583,497,Gold,1900
584,342,Gold,1900
585,467,Gold,1900
586,91,Silver,1900
587,423,Bronze,1900
588,423,Gold,1900
589,450,Gold,1900
590,450,Silver,1900
591,342,Bronze,1900
592,497,Gold,1900
593,507,Gold,1900
594,86,Gold,1900
595,91,Gold,1900
596,450,Gold,1900
597,354,Bronze,1900
598,215,Silver,1900
599,72,Silver,1900
600,86,Bronze,1900
601,91,Gold,1900
602,496,Gold,1900
603,497,Gold,1900
604,686,Silver,1900
605,689,Silver,1900
606,450,Gold,1900
607,215,Silver,1900
608,680,Bronze,1900
609,677,Bronze,1900
610,94,Bronze,1900
611,70,Bronze,1900
612,75,Bronze,1900
613,91,Gold,1900
614,616,Bronze,1900
615,613,Silver,1900
616,430,Bronze,1900
617,354,Silver,1900
618,459,Gold,1900
619,362,Gold,1900
620,354,Gold,1900
621,320,Silver,1900
622,271,Silver,1900
623,686,Silver,1900
624,450,Gold,1900
625,218,Bronze,1900
626,507,Silver,1900
627,466,Bronze,1900
628,686,Gold,1900
629,450,Silver,1900
630,215,Silver,1900
631,87,Bronze,1900
632,323,Bronze,1900
633,324,Bronze,1900
634,507,Silver,1900
635,689,Silver,1900
636,27,Silver,1900
637,28,Silver,1900
638,112,Gold,1900
639,100,Bronze,1900
640,114,Bronze,1900
641,117,Bronze,1900
642,497,Bronze,1900
643,637,Silver,1900
644,450,Silver,1900
645,468,Silver,1900
646,686,Gold,1900
647,689,Silver,1900
648,430,Silver,1900
649,342,Gold,1900
650,342,Bronze,1900
651,686,Gold,1900
652,496,Bronze,1900
653,497,Gold,1900
654,507,Gold,1900
655,502,Gold,1900
656,689,Gold,1900
657,450,Silver,1900
658,466,Silver,1900
659,466,Silver,1900
660,497,Bronze,1900
661,215,Gold,1900
662,271,Gold,1900
663,450,Silver,1900
664,619,Bronze,1900
665,88,Silver,1900
666,468,Gold,1900
667,459,Bronze,1900
668,215,Silver,1900
669,430,Silver,1900
670,94,Silver,1900
671,70,Silver,1900
672,75,Gold,1900
673,76,Bronze,1900
674,88,Gold,1900
675,459,Silver,1900
676,459,Silver,1900
677,459,Silver,1900
678,459,Silver,1900
679,109,Gold,1900
680,14,Silver,1900
681,16,Silver,1900
682,319,Silver,1900
683,507,Bronze,1900
684,308,Silver,1900
685,342,Bronze,1900
686,430,Gold,1900
687,215,Gold,1900
688,215,Silver,1900
689,115,Bronze,1900
690,497,Silver,1900
691,313,Silver,1900
692,310,Gold,1900
693,429,Bronze,1900
694,268,Bronze,1900
695,342,Gold,1900
696,95,Gold,1900
697,91,Gold,1900
698,689,Silver,1900
699,460,Silver,1900
700,460,Bronze,1900
701,506,Bronze,1900
702,467,Bronze,1900
703,429,Silver,1900
704,497,Bronze,1900
705,311,Silver,1900
706,310,Bronze,1900
707,468,Silver,1900
708,429,Bronze,1900
709,342,Bronze,1900
710,14,Gold,1900
711,16,Gold,1900
712,17,Silver,1900
713,18,Silver,1900
714,429,Silver,1900
715,313,Gold,1900
716,689,Bronze,1900
717,433,Bronze,1900
718,619,Silver,1900
719,429,Silver,1900
720,218,Silver,1900
721,461,Silver,1900
722,461,Bronze,1900
723,153,Gold,1900
724,616,Silver,1900
725,602,Bronze,1900
726,625,Silver,1900
727,602,Silver,1900
728,618,Silver,1900
729,433,Silver,1900
730,450,Silver,1900
731,677,Bronze,1900
732,217,Bronze,1900
733,218,Gold,1900
734,430,Silver,1900
735,478,Silver,1900
736,461,Gold,1900
737,450,Silver,1900
738,356,Silver,1900
739,450,Silver,1900
740,450,Silver,1900
741,478,Silver,1900
742,461,Gold,1900
743,430,Bronze,1900
744,450,Silver,1900
745,686,Gold,1900
746,423,Bronze,1900
747,342,Gold,1900
748,429,Gold,1904
749,636,Silver,1904
750,406,Bronze,1904
751,434,Silver,1904
752,258,Bronze,1904
753,256,Silver,1904
754,429,Gold,1904
755,71,Bronze,1904
756,429,Silver,1904
757,342,Silver,1904
758,716,Silver,1904
759,689,Silver,1904
760,733,Silver,1904
761,434,Silver,1904
762,675,Bronze,1904
763,673,Silver,1904
764,176,Gold,1904
765,372,Silver,1904
766,115,Bronze,1904
767,248,Bronze,1904
768,247,Bronze,1904
769,246,Silver,1904
770,244,Bronze,1904
771,372,Silver,1904
772,406,Bronze,1904
773,406,Bronze,1904
774,406,Gold,1904
775,429,Silver,1904
776,606,Gold,1904
777,629,Silver,1904
778,714,Gold,1904
779,342,Bronze,1904
780,689,Gold,1904
781,686,Silver,1904
782,95,Bronze,1904
783,406,Gold,1904
784,406,Gold,1904
785,342,Silver,1904
786,342,Silver,1904
787,428,Bronze,1904
788,20,Gold,1904
789,21,Gold,1904
790,36,Bronze,1904
791,36,Bronze,1904
792,435,Bronze,1904
793,175,Silver,1904
794,406,Gold,1904
795,355,Bronze,1904
796,355,Silver,1904
797,355,Bronze,1904
798,70,Silver,1904
799,75,Silver,1904
800,76,Silver,1904
801,406,Gold,1904
802,342,Gold,1904
803,714,Bronze,1904
804,36,Silver,1904
805,406,Gold,1904
806,112,Silver,1904
807,37,Silver,1904
808,38,Silver,1904
809,342,Bronze,1904
810,342,Bronze,1904
811,109,Silver,1904
812,83,Silver,1904
813,342,Bronze,1904
814,406,Gold,1904
815,429,Gold,1904
816,342,Silver,1904
817,355,Gold,1904
818,720,Gold,1904
819,36,Bronze,1904
820,73,Silver,1904
821,632,Bronze,1904
822,612,Silver,1904
823,620,Gold,1904
824,630,Gold,1904
825,624,Gold,1904
826,429,Gold,1904
827,93,Gold,1904
828,103,Silver,1904
829,318,Gold,1904
830,319,Gold,1904
831,636,Gold,1904
832,342,Bronze,1904
833,434,Gold,1904
834,342,Bronze,1904
835,406,Silver,1904
836,248,Silver,1904
837,247,Silver,1904
838,246,Bronze,1904
839,244,Silver,1904
840,253,Gold,1904
841,256,Gold,1904
842,342,Gold,1904
843,372,Bronze,1904
844,366,Bronze,1904
845,434,Bronze,1904
846,36,Silver,1904
847,111,Gold,1904
848,355,Gold,1904
849,354,Silver,1904
850,355,Gold,1904
851,355,Gold,1904
852,365,Gold,1904
853,117,Silver,1904
854,733,Gold,1904
855,434,Gold,1904
856,689,Bronze,1904
857,624,Bronze,1904
858,114,Gold,1904
859,115,Gold,1904
860,116,Gold,1904
861,429,Gold,1904
862,363,Silver,1904
863,361,Gold,1904
864,366,Gold,1904
865,359,Bronze,1904
866,370,Gold,1904
867,371,Silver,1904
868,435,Gold,1904
869,112,Bronze,1904
870,175,Gold,1904
871,173,Silver,1904
872,93,Silver,1904
873,103,Gold,1904
874,686,Gold,1904
875,429,Gold,1904
876,406,Bronze,1904
877,406,Gold,1904
878,316,Gold,1904
879,318,Gold,1904
880,323,Gold,1904
881,434,Silver,1904
882,318,Silver,1904
883,108,Silver,1904
884,355,Bronze,1904
885,342,Gold,1904
886,434,Bronze,1904
887,686,Bronze,1904
888,342,Bronze,1904
889,620,Silver,1904
890,630,Silver,1904
891,634,Silver,1904
892,635,Bronze,1904
893,673,Bronze,1904
894,100,Bronze,1904
895,406,Silver,1904
896,174,Bronze,1904
897,369,Gold,1904
898,429,Gold,1904
899,253,Silver,1904
900,689,Bronze,1904
901,624,Silver,1904
902,689,Gold,1904
903,624,Gold,1904
904,636,Bronze,1904
905,342,Gold,1904
906,319,Silver,1904
907,322,Bronze,1904
908,440,Gold,1904
909,365,Silver,1904
910,372,Gold,1904
911,406,Silver,1904
912,87,Bronze,1904
913,96,Silver,1904
914,686,Bronze,1904
915,94,Gold,1904
916,70,Gold,1904
917,75,Gold,1904
918,406,Bronze,1904
919,342,Gold,1904
920,174,Silver,1904
921,689,Silver,1904
922,624,Silver,1904
923,689,Gold,1904
924,624,Gold,1904
925,629,Bronze,1904
926,718,Gold,1904
927,96,Bronze,1904
928,83,Silver,1904
929,689,Silver,1904
930,65,Bronze,1904
931,83,Silver,1904
932,363,Gold,1904
933,372,Gold,1904
934,361,Gold,1904
935,366,Silver,1904
936,359,Gold,1904
937,371,Gold,1904
938,434,Bronze,1904
939,720,Silver,1904
940,342,Gold,1904
941,359,Gold,1904
942,357,Gold,1904
943,372,Gold,1904
944,689,Gold,1904
945,109,Gold,1904
946,87,Gold,1904
947,76,Gold,1904
948,88,Gold,1904
949,436,Silver,1904
950,290,Silver,1904
951,606,Silver,1904
952,94,Silver,1904
953,70,Bronze,1904
954,75,Bronze,1904
955,37,Gold,1904
956,38,Gold,1904
957,41,Gold,1904
958,36,Silver,1904
959,355,Gold,1904
960,406,Silver,1904
961,248,Gold,1904
962,247,Gold,1904
963,246,Gold,1904
964,244,Gold,1904
965,253,Bronze,1904
966,355,Bronze,1904
967,686,Bronze,1904
968,428,Gold,1904
969,342,Bronze,1904
970,342,Bronze,1904
971,406,Gold,1904
972,342,Silver,1904
973,342,Silver,1904
974,342,Silver,1904
975,435,Bronze,1904
976,342,Bronze,1904
977,686,Gold,1904
978,342,Gold,1904
979,355,Bronze,1904
980,104,Gold,1904
981,440,Silver,1904
982,704,Gold,1904
983,372,Gold,1904
984,689,Silver,1904
985,290,Bronze,1904
986,96,Gold,1904
987,115,Silver,1904
988,116,Silver,1904
989,173,Gold,1904
990,174,Gold,1904
991,634,Bronze,1904
992,635,Silver,1904
993,372,Bronze,1904
994,370,Silver,1904
995,686,Bronze,1904
996,704,Bronze,1904
997,691,Bronze,1904
998,718,Silver,1904
999,406,Gold,1904
1000,355,Silver,1904
1001,342,Gold,1904
1002,355,Bronze,1904
1003,342,Silver,1904
1004,632,Silver,1904
1005,612,Bronze,1904
1006,362,Gold,1904
1007,364,Silver,1904
1008,372,Gold,1904
1009,675,Bronze,1904
1010,673,Gold,1904
1011,675,Silver,1904
1012,673,Silver,1904
1013,95,Gold,1904
1014,65,Gold,1904
1015,73,Gold,1904
1016,83,Silver,1904
1017,406,Bronze,1904
1018,342,Gold,1904
1019,429,Gold,1904
1020,429,Silver,1904
1021,342,Silver,1904
1022,184,Bronze,1904
1023,406,Gold,1904
1024,354,Gold,1904
1025,429,Silver,1904
1026,686,Gold,1904
1027,406,Bronze,1904
1028,36,Gold,1904
1029,355,Silver,1904
1030,182,Gold,1904
1031,176,Silver,1904
1032,372,Bronze,1904
1033,372,Bronze,1904
1034,342,Gold,1904
1035,354,Bronze,1904
1036,355,Silver,1904
1037,355,Silver,1904
1038,714,Silver,1904
1039,436,Silver,1904
1040,716,Gold,1904
1041,342,Silver,1904
1042,365,Bronze,1904
1043,363,Bronze,1904
1044,361,Bronze,1904
1045,369,Silver,1904
1046,371,Bronze,1904
1047,689,Bronze,1904
1048,176,Bronze,1904
1049,93,Bronze,1904
1050,355,Gold,1904
1051,94,Bronze,1904
1052,436,Gold,1904
1053,435,Silver,1904
1054,83,Gold,1904
1055,406,Silver,1904
1056,434,Gold,1904
1057,716,Bronze,1904
1058,109,Bronze,1904
1059,73,Bronze,1904
1060,83,Gold,1904
1061,354,Bronze,1904
1062,355,Silver,1904
1063,712,Gold,1904
1064,406,Bronze,1904
1065,342,Bronze,1904
1066,322,Silver,1904
1067,355,Bronze,1904
1068,686,Gold,1904
1069,689,Bronze,1904
1070,624,Bronze,1904
1071,704,Silver,1904
1072,691,Gold,1904
1073,406,Silver,1904
1074,406,Silver,1904
1075,406,Silver,1904
1076,406,Gold,1904
1077,355,Gold,1904
1078,83,Gold,1904
1079,76,Bronze,1904
1080,88,Bronze,1904
1081,37,Bronze,1904
1082,38,Bronze,1904
1083,41,Gold,1904
1084,355,Silver,1904
1085,355,Bronze,1904
1086,108,Gold,1904
1087,117,Gold,1904
1088,355,Bronze,1904
1089,406,Bronze,1904
1090,342,Silver,1904
1091,620,Bronze,1904
1092,634,Gold,1904
1093,635,Gold,1904
1094,436,Bronze,1904
1095,372,Gold,1904
1096,406,Bronze,1904
1097,429,Silver,1904
1098,689,Bronze,1904
1099,624,Bronze,1904
1100,429,Silver,1904
1101,36,Bronze,1904
1102,114,Bronze,1904
1103,686,Silver,1904
1104,724,Gold,1904
1105,686,Silver,1904
1106,112,Gold,1904
1107,100,Silver,1904
1108,103,Bronze,1904
1109,372,Silver,1904
1110,406,Silver,1904
1111,689,Gold,1904
1112,624,Gold,1904
1113,435,Gold,1904
1114,111,Silver,1904
1115,355,Gold,1904
1116,429,Gold,1904
1117,258,Gold,1904
1118,372,Silver,1904
1119,689,Bronze,1904
1120,71,Gold,1904
1121,372,Bronze,1904
1122,624,Bronze,1904
1123,686,Gold,1904
1124,686,Silver,1904
1125,355,Silver,1904
1126,104,Silver,1904
1127,290,Gold,1904
1128,100,Gold,1904
1129,71,Silver,1904
1130,372,Bronze,1904
1131,355,Gold,1904
1132,406,Bronze,1904
1133,181,Gold,1904
1134,184,Silver,1904
1135,36,Gold,1904
1136,362,Bronze,1904
1137,364,Gold,1904
1138,406,Bronze,1904
1139,182,Silver,1904
1140,114,Silver,1904
1141,116,Bronze,1904
1142,108,Bronze,1904
1143,117,Bronze,1904
1144,689,Gold,1904
1145,342,Gold,1904
1146,689,Silver,1904
1147,372,Silver,1904
1148,355,Silver,1904
1149,355,Silver,1904
1150,434,Gold,1904
1151,429,Silver,1904
1152,712,Bronze,1904
1153,428,Silver,1904
1154,181,Bronze,1904
1155,434,Silver,1904
1156,406,Silver,1904
1157,689,Silver,1904
1158,342,Bronze,1904
1159,316,Bronze,1904
1160,318,Silver,1904
1161,323,Silver,1904
1162,41,Gold,1904
1163,342,Gold,1904
1164,724,Silver,1904
1165,686,Bronze,1904
1166,20,Bronze,1904
1167,21,Bronze,1904
1168,36,Gold,1904
1169,624,Silver,1904
1170,720,Bronze,1904
1171,440,Bronze,1904
1172,689,Bronze,1904
1173,318,Silver,1904
1174,689,Silver,1904
1175,624,Silver,1904
1176,342,Gold,1904
1177,83,Gold,1904
1178,686,Silver,1904
1179,95,Silver,1904
1180,83,Gold,1904
1181,689,Gold,1904
1182,181,Silver,1904
1183,316,Silver,1904
1184,318,Gold,1904
1185,323,Bronze,1904
1186,319,Bronze,1904
1187,322,Gold,1904
1188,436,Gold,1904
1189,435,Silver,1904
1190,406,Silver,1904
1191,65,Silver,1904
1192,83,Silver,1904
1193,434,Bronze,1904
1194,369,Bronze,1904
1195,370,Bronze,1904
1196,357,Silver,1904
1197,632,Gold,1904
1198,612,Gold,1904
1199,429,Silver,1904
1200,630,Bronze,1904
1201,87,Silver,1904
1202,88,Silver,1904
1203,718,Bronze,1904
1204,673,Bronze,1904
1205,673,Bronze,1904
1206,355,Bronze,1904
1207,362,Silver,1904
1208,364,Bronze,1904
1209,104,Bronze,1904
1210,436,Bronze,1904
1211,673,Bronze,1904
1212,712,Silver,1904
1213,258,Silver,1904
1214,256,Bronze,1904
1215,111,Bronze,1904
1216,20,Silver,1904
1217,21,Silver,1904
