athleteID,age,sex,height,weight
402,39,M,,
403,21,M,,
404,21,M,,
405,50,M,,
406,50,M,,
407,,M,,
408,,M,,
409,,M,,
410,21,M,,
411,22,M,,
412,21,M,167,58
413,28,M,,
414,28,M,,
415,28,M,,
416,,M,,
417,51,M,,
418,22,M,,
419,22,M,,
420,,M,,
421,20,F,,
422,20,F,,
423,35,M,,
424,26,M,,
425,21,M,,
426,32,M,,
427,,M,,
428,36,M,,
429,36,M,,
430,36,M,,
431,,M,,
432,,M,,
433,26,M,170,
434,22,M,,
435,22,M,,
436,29,M,,
437,23,M,183,75
438,23,M,183,75
439,23,M,183,75
440,23,M,183,75
441,,M,,
442,19,M,,
443,22,M,172,
444,,M,,
445,21,M,,
446,20,M,,
447,20,M,,
448,36,M,,
449,19,M,,
450,18,M,,
451,19,M,,
452,27,M,,
453,27,M,,
454,,M,,
455,,M,,
456,22,M,,
457,22,M,,
458,,M,,
459,46,M,,
460,46,M,,
461,22,M,,
462,21,M,,
463,27,M,,
464,20,M,,
465,,M,,
466,24,M,,
467,28,M,,
468,28,M,,
469,24,M,,
470,,M,,
471,,M,,
472,21,M,182,75
473,22,M,,
474,20,M,,
475,26,M,180,71
476,,M,,
477,22,M,,
478,,M,,
479,25,M,,
480,49,M,,
481,22,M,,
482,18,M,,
483,31,M,,
484,,M,,
485,48,M,178,
486,28,M,,
487,33,M,191,
488,33,M,191,
489,33,M,191,
490,,M,,
491,19,M,,
492,34,M,,
493,34,M,,
494,26,M,,
495,,M,,
496,,M,,
497,,M,,
498,71,M,,
499,71,M,,
500,,M,,
501,28,M,,
502,27,M,,
503,27,M,,
504,26,M,,
505,26,M,,
506,28,M,,
507,22,M,,
508,22,M,,
509,,M,,
510,,M,,
511,17,M,,
512,17,M,,
513,,M,,
514,26,M,,
515,44,M,,
516,44,M,,
517,,M,,
518,32,M,,
519,32,M,,
520,32,M,,
521,25,M,,
522,29,M,,
523,22,M,,
524,17,M,,
525,,M,,
526,,M,,
527,48,M,,
528,48,M,,
529,22,M,,
530,47,M,,
531,,M,,
532,48,M,,
533,54,M,,
534,,M,,
535,,M,,
536,,M,,
537,25,M,,
538,20,M,,
539,27,M,,
540,32,M,,
541,32,M,,
542,32,M,,
543,27,M,,
544,,M,,
545,,M,,
546,21,M,,
547,24,M,,
548,25,M,180,74
549,27,M,169,65
550,27,M,169,65
551,33,M,,
552,33,M,,
553,33,M,,
554,33,M,,
555,,M,,
556,32,M,170,
557,32,M,170,
558,32,M,170,
559,32,M,170,
560,,M,,
561,,M,,
562,,M,,
563,40,M,,
564,29,M,,
565,24,M,,
566,20,M,,
567,,M,,
568,,M,,
569,,M,,
570,43,M,,
571,43,M,,
572,23,M,164,70
573,,M,,
574,24,M,,
575,41,F,,
576,40,M,,
577,,F,,
578,,F,,
579,21,M,180,74
580,21,M,180,74
581,24,M,,
582,24,M,,
583,30,M,,
584,31,M,,
585,,M,,
586,18,M,166,66
587,34,M,,
588,33,M,,
589,29,M,,
590,,M,,
591,,M,,
592,35,M,,
593,35,M,,
594,22,M,,
595,22,M,,
596,18,M,,
597,31,M,,
598,35,M,,
599,23,M,,
600,23,M,,
601,23,M,,
602,31,M,,
603,31,M,,
604,21,M,,
605,,M,,
606,21,M,,
607,,M,,
608,35,F,,
609,35,F,,
610,23,M,178,71
611,23,M,178,71
612,23,M,178,71
613,23,M,178,71
614,18,M,182,
615,18,M,182,
616,28,M,,
617,42,M,,
618,,M,,
619,28,M,,
620,34,M,181,
621,33,M,,
622,19,M,,
623,23,M,,
624,23,M,,
625,39,M,,
626,30,M,,
627,,M,,
628,38,M,,
629,30,M,,
630,33,M,,
631,20,M,,
632,22,M,,
633,22,M,,
634,40,M,,
635,,M,,
636,43,M,,
637,43,M,,
638,21,M,,
639,21,M,,
640,25,M,,
641,25,M,,
642,33,M,,
643,20,M,,
644,,M,,
645,36,M,,
646,34,M,,
647,25,M,,
648,24,M,,
649,,M,,
650,,M,,
651,19,M,,
652,33,M,168,
653,33,M,168,
654,33,M,168,
655,33,M,168,
