athleteID,eventID,medal,year
28449,383,Gold,2000
28632,383,Silver,2000
29593,383,Bronze,2000
30827,383,Silver,2004
31055,383,Bronze,2004
31089,383,Gold,2004
33312,383,Gold,2008
33682,383,Silver,2008
34632,383,Bronze,2008
35898,383,Silver,2012
36424,383,Gold,2012
36970,383,Bronze,2012
38640,383,Silver,2016
38978,383,Gold,2016
39306,383,Bronze,2016
